FMS	Fresenius Medical Care	Health Care Providers & Services	21.38B
FMTX	Forma Therapeutics	Biotechnology	1.13B
FMX	Fomento Economico Mexicano	Beverages	30.86B
FN	Fabrinet	Electronic Equipment, Instruments & C...	3.81B
FNB	F.N.B.	Banks	3.52B
FNCB	FNCB Bancorp	Banks	157.47M
FNCH	Finch Therapeutics Group	Biotechnology	635.82M
FND	Floor & Decor Holdings	Specialty Retail	13.45B
FNF	Fidelity National Financial	Insurance	13.26B
FNHC	FedNat Holding	Insurance	38.20M
FNKO	Funko	Distributors	908.58M
FNLC	First Bancorp	Banks	307.74M
FNV	Franco-Nevada	Metals & Mining	27.12B
FNWB	First Northwest Bancorp	Banks	180.06M
FOA	Finance of America	Credit Services	305.40M
FOCS	Focus Financial Partners	Capital Markets	3.76B
FOE	Ferro Corporation	Chemicals	1.74B
FOLD	Amicus Therapeutics	Biotechnology	2.91B
FONR	Fonar Corporation	Health Care Equipment & Supplies	113.73M
FOR	Forestar Group	Real Estate Management & Development	990.05M
FORA	Forian	Health Information Services	331.12M
FORD	Forward Industries	Textiles, Apparel & Luxury Goods	24.18M
FORE	Foresight Acquisition	Shell Companies	397.58M
FORM	FormFactor	Semiconductors & Semiconductor Equipment	3.07B
FORR	Forrester Research	Professional Services	910.48M
FORTY	Formula Systems (1985) Ltd.	IT Services	1.53B
FOSL	Fossil Group	Textiles, Apparel & Luxury Goods	642.94M
FOUR	Shift4 Payments	IT Services	6.53B
FOX	Fox Corporation	Media	19.99B
FOXA	Fox Corporation	Media	19.99B
FOXF	Fox Factory Holding	Auto Components	6.37B
FOXW	FoxWayne Enterprises Acquisition	Shell Companies	72.38M
FPAC	Far Peak Acquisition	Shell Companies	697.50M
FPAY	FlexShopper	Diversified Financial Services	65.85M
FPH	Five Point Holdings	Real Estate Management & Development	1.16B
FPI	Farmland Partners	Equity Real Estate Investment Trusts...	408.94M
FR	First Industrial Realty Trust	Equity Real Estate Investment Trusts...	6.93B
FRAF	Franklin Financial Services	Banks	137.67M
FRBA	First Bank	Banks	251.38M
FRBK	Republic First Bancorp	Banks	185.49M
FRC	First Republic Bank	Banks	34.92B
FRD	Friedman Industries	Metals & Mining	84.17M
FREE	Whole Earth Brands	Packaged Foods	475.89M
FREQ	Frequency Therapeutics	Biotechnology	250.56M
FREY	FREYR Battery	Electrical Equipment & Parts	1.04B
FRG	Franchise Group	Diversified Consumer Services	1.39B
FRGI	Fiesta Restaurant Group	Hotels, Restaurants & Leisure	300.32M
FRHC	Freedom Holding	Capital Markets	3.63B
FRLN	Freeline Therapeutics	Biotechnology	136.77M
FRME	First Merchants	Banks	2.09B
FRO	Frontline	Oil, Gas & Consumable Fuels	1.54B
FROG	JFrog	Software	3.51B
FRON	Frontier Acquisition	Shell Companies	286.16M
FRPH	FRP Holdings	Real Estate Management & Development	519.11M
FRPT	Freshpet	Food Products	5.80B
FRSG	First Reserve Sustainable Growth	Shell Companies	274.99M
FRST	Primis Financial	Banks	347.97M
FRSX	Foresight Autonomous	Auto Components	206.15M
FRT	Federal Realty Investment Trust	Equity Real Estate Investment Trusts...	9.16B
FRTA	Forterra	Construction Materials	1.59B
FRW	PWP Forward Acquisition I	Shell Companies	204.86M
FRXB	Forest Road Acquisition II	Shell Companies	425.25M
FSBC	Five Star Bancorp	Banks-Regional	404.63M
FSBW	FS Bancorp	Thrifts & Mortgage Finance	272.01M
FSEA	First Seacoast Bancorp	Thrifts & Mortgage Finance	59.53M
FSFG	First Savings Financial Group	Banks	198.58M
FSI	Flexible Solutions International	Chemicals	42.41M
FSII	FS Development II	Semiconductors & Semiconductor Equipment	207.69M
FSK	FS KKR Capital	Capital Markets	6.62B
FSLR	First Solar	Semiconductors & Semiconductor Equipment	10.57B
FSLY	Fastly	IT Services	5.13B
FSM	Fortuna Silver Mines	Metals & Mining	1.55B
FSNB	Fusion Acquisition II	Shell Companies	604.37M
FSP	Franklin Street Properties	Equity Real Estate Investment Trusts...	478.98M
FSR	Fisker	Insurance	4.02B
FSRX	FinServ Acquisition II	Shell Companies	371.13M
FSS	Federal Signal	Machinery	2.39B
FSSI	Fortistar Sustainable Solutions	Shell Companies	313.09M
FST	Fast Acquisition	Shell Companies	317.00M
FSTR	L.B. Foster Company	Machinery	169.13M
FSTX	F-star Therapeutics	Biotechnology	157.74M
FSV	FirstService	Real Estate Management & Development	8.31B
FTAA	FTAC Athena Acquisition	Shell Companies	339.40M
FTAI	Fortress Transportation & Infrastructure Investors	Trading Companies & Distributors	2.18B
FTCH	Farfetch	Internet & Direct Marketing Retail	14.99B
FTCI	FTC Solar	Solar	808.45M
FTCV	FinTech Acquisition V	Shell Companies	354.52M
FTDR	Frontdoor, Inc.	Diversified Consumer Services	3.89B
FTEK	Fuel Tech	Commercial Services & Supplies	55.38M
FTEV	FinTech Evolution Acquisition	Shell Companies	331.66M
FTFT	Future FinTech Group	Food Products	168.16M
FTHM	Fathom Holdings	Real Estate Management & Development	415.03M
FTI	TechnipFMC	Energy Equipment & Services	2.97B
FTK	Flotek Industries	Chemicals	99.29M
FTNT	Fortinet	Software	50.71B
FTPA	FTAC Parnassus Acquisition	Shell Companies	331.23M
FTRP	Field Trip Health	Medical Care Facilities	329.23M
FTS	Fortis	Electric Utilities	27.36B
FTSI	FTS International	Energy Equipment & Services	312.31M
FTV	Fortive	Machinery	26.99B
FTVI	FinTech Acquisition VI	Shell Companies	293.91M
FUBO	FuboTV	Software	4.23B
FUL	H.B. Fuller	Chemicals	3.43B
FULC	Fulcrum Therapeutics	Pharmaceuticals	1.07B
FULT	Fulton Financial	Banks	2.48B
FUN	Cedar Fair	Hotels, Restaurants & Leisure	2.56B
FUNC	First United	Banks	118.73M
FURY	Fury Gold Mines	Other Industrial Metals & Mining	86.92M
FUSB	First US Bancshares	Banks	62.49M
FUSE	Fusion Acquisition	Shell Companies	436.62M
FUSN	Fusion Pharmaceuticals	Biotechnology	391.91M
FUTU	Futu Holdings	Capital Markets	16.13B
FUV	Arcimoto	Automobiles	444.22M
FVAM	5:01 Acquisition	Shell Companies	107.47M
FVCB	FVCBankcorp	Banks	269.82M
FVE	Five Star Senior Living	Health Care Providers & Services	133.71M
FVIV	Fortress Value Acquisition IV	Shell Companies	630.50M
FVRR	Fiverr International	Internet & Direct Marketing Retail	6.47B
FVT	Fortress Value Acquisition III	Shell Companies	279.74M
FWAC	Fifth Wall Acquisition III	Shell Companies	320.75M
FWONA	Liberty Media Formula One	Entertainment	11.41B
FWP	Forward Pharma A/S	Biotechnology	43.03M
FWRD	Forward Air	Air Freight & Logistics	2.28B
FXLV	F45 Training	Leisure	1.27B
FXNC	First National	Banks	129.97M
FYBR	Frontier Communications	Telecom Services	8.00B
FZT	FAST Acquisition II	Shell Companies	270.00M
G	Genpact	IT Services	9.38B
GABC	German American Bancorp	Banks	946.35M
GACQ	Global Consumer Acquisition	Shell Companies	220.79M
GAIA	Gaia, Inc.	Entertainment	189.51M
GAIN	Gladstone Investment	Capital Markets	478.15M
GALT	Galectin Therapeutics	Biotechnology	226.43M
GAMB	Gambling.com Group	Gambling	328.94M
GAMC	Golden Arrow Merger	Shell Companies	347.52M
GAME	Engine Media	Software	94.27M
GAN	GAN Limited	Gambling	678.17M
GANX	Gain Therapeutics	Biotechnology	107.25M
GAPA	G&P Acquisition	Shell Companies	213.72M
GASS	StealthGas	Oil, Gas & Consumable Fuels	106.20M
GATO	Gatos Silver	Other Precious Metals & Mining	963.81M
GATX	GATX Corporation	Trading Companies & Distributors	3.14B
GAU	Galiano Gold	Metals & Mining	182.92M
GB	Global Blue	Information Technology Services	1.19B
GBCI	Glacier Bancorp	Banks	4.83B
GBDC	Golub Capital BDC	Capital Markets	2.59B
GBIO	Generation Bio	Biotechnology	1.52B
GBL	GAMCO Investors	Capital Markets	728.95M
GBLI	Global Indemnity	Insurance	384.70M
GBNH	Greenbrook TMS	Medical Care Facilities	164.16M
GBNY	Generations Bancorp NY	Banks-Regional	26.77M
GBOX	GreenBox POS	Software-Infrastructure	433.43M
GBR	New Concept Energy	Oil, Gas & Consumable Fuels	22.02M
GBRG	Goldenbridge Acquisition	Shell Companies	74.75M
GBS	GBS, Inc.	Medical Devices	41.85M
GBT	Global Blood Therapeutics	Biotechnology	1.75B
GBX	Greenbrier Companies	Machinery	1.41B
GCAC	Growth Capital Acquisition	Shell Companies	214.12M
GCBC	Greene County Bancorp	Thrifts & Mortgage Finance	274.05M
GCI	Gannett	Publishing	881.37M
GCMG	GCM Grosvenor	Asset Management	2.17B
GCO	Genesco	Specialty Retail	888.87M
GCP	GCP Applied Technologies	Chemicals	1.77B
GD	General Dynamics	Aerospace & Defense	56.36B
GDDY	GoDaddy	IT Services	12.73B
GDEN	Golden Entertainment	Hotels, Restaurants & Leisure	1.24B
GDEV	Nexters	Shell Companies	333.06M
GDOT	Green Dot	Consumer Finance	2.75B
GDP	Goodrich Petroleum	Oil, Gas & Consumable Fuels	278.57M
GDRX	GoodRx Holdings	Health Care Technology	16.77B
GDS	GDS Holdings	IT Services	12.00B
GDYN	Grid Dynamics Holdings	IT Services	1.86B
GE	General Electric	Industrial Conglomerates	111.96B
GECC	Great Elm Capital	Capital Markets	84.63M
GEF	Greif	Containers & Packaging	3.13B
GEF.B	Greif	Packaging & Containers	3.13B
GEG	Great Elm Group	Capital Markets	58.20M
GEL	Genesis Energy	Oil, Gas & Consumable Fuels	974.50M
GENC	Gencor Industries	Machinery	167.22M
GENE	Genetic Technologies	Life Sciences Tools & Services	54.36M
GENI	Genius Sports	Interactive Media & Services	4.17B
GEO	GEO Group	Equity Real Estate Investment Trusts...	906.90M
GEOS	Geospace Technologies	Energy Equipment & Services	124.37M
GERN	Geron	Biotechnology	455.25M
GES	Guess	Specialty Retail	1.43B
GEVO	Gevo, Inc.	Oil, Gas & Consumable Fuels	1.40B
GFED	Guaranty Federal Bancshares	Thrifts & Mortgage Finance	105.66M
GFF	Griffon Corporation	Building Products	1.32B
GFI	Gold Fields	Metals & Mining	7.51B
GFL	GFL Environmental	Waste Management	12.24B
GFOR	Graf Acquisition IV	Shell Companies	180.94M
GFX	Golden Falcon Acquisition	Shell Companies	418.74M
GGAL	Grupo Financiero Galicia	Banks	2.88B
GGB	Gerdau	Metals & Mining	8.75B
GGG	Graco	Machinery	13.13B
GGGV	G3 VRM Acquisition	Shell Companies	140.18M
GGMC	Glenfarne Merger	Shell Companies	310.82M
GGPI	Gores Guggenheim	Shell Companies	937.50M
GH	Guardant Health	Health Care Providers & Services	13.08B
GHAC	Gaming & Hospitality Acquisition	Shell Companies	250.82M
GHC	Graham Holdings	Diversified Consumer Services	2.96B
GHG	GreenTree Hospitality Group	Hotels, Restaurants & Leisure	909.93M
GHL	Greenhill & Co.	Capital Markets	267.91M
GHLD	Guild Holdings Company	Mortgage Finance	885.67M
GHM	Graham Corporation	Machinery	132.57M
GHRS	GH Research PLC	Biotechnology	1.17B
GHSI	Guardion Health Sciences	Personal Products	31.51M
GIB	CGI, Inc	IT Services	19.91B
GIC	Global Industrial	Trading Companies & Distributors	1.36B
GIFI	Gulf Island Fabrication	Energy Equipment & Services	64.16M
GIG	GigCapital4	Shell Companies	129.75M
GIGM	GigaMedia	Entertainment	28.85M
GIII	G-III Apparel Group	Textiles, Apparel & Luxury Goods	1.42B
GIIX	Gores Holdings VIII	Shell Companies	425.21M
GIL	Gildan Activewear	Textiles, Apparel & Luxury Goods	7.57B
GILD	Gilead Sciences	Biotechnology	89.01B
GILT	Gilat Satellite Networks	Communications Equipment	528.38M
GIS	General Mills	Food Products	35.42B
GIW	GigInternational1	Banks	256.13M
GKOS	Glaukos Corporation	Health Care Equipment & Supplies	2.44B
GL	Globe Life	Insurance	9.36B
GLAD	Gladstone Capital	Capital Markets	385.92M
GLAQ	Globis Acquisition	Shell Companies	150.63M
GLBE	Global-E Online	Internet Retail	9.80B
GLBL	Cartesian Growth	Independent Power and Renewable Elect...	880.23M
GLBS	Globus Maritime	Marine	65.01M
GLBZ	Glen Burnie Bancorp	Banks	34.24M
GLDD	Great Lakes Dredge & Dock	Construction & Engineering	987.49M
GLDG	GoldMining	Gold	196.03M
GLEO	Galileo Acquisition	Shell Companies	175.57M
GLG	TD Holdings	Road & Rail	81.78M
GLHA	Glass Houses Acquisition	Shell Companies	241.75M
GLMD	Galmed Pharmaceuticals	Biotechnology	78.51M
GLNG	Golar LNG	Oil, Gas & Consumable Fuels	1.24B
GLOB	Globant	Software	13.41B
GLOP	GasLog Partners	Oil, Gas & Consumable Fuels	218.73M
GLP	Global Partners	Oil, Gas & Consumable Fuels	679.91M
GLPG	Galapagos	Biotechnology	3.81B
GLPI	Gaming & Leisure Properties	Equity Real Estate Investment Trusts...	11.25B
GLRE	Greenlight Capital Re	Insurance	258.02M
GLSI	Greenwich LifeSciences	Biotechnology	598.01M
GLSPT	Global SPAC Partners	Shell Companies	257.40M
GLT	Glatfelter	Paper & Forest Products	679.01M
GLTA	Galata Acquisition	Shell Companies	152.34M
GLTO	Galecto	Biotechnology	111.15M
GLUE	Monte Rosa Therapeutics	Biotechnology	1.62B
GLW	Corning	Electronic Equipment, Instruments & C...	33.16B
GLYC	GlycoMimetics	Biotechnology	115.96M
GM	General Motors	Automobiles	71.85B
GMAB	Genmab A/S	Biotechnology	28.93B
GMBL	Esports Entertainment	Hotels, Restaurants & Leisure	181.03M
GMBT	Queen's Gambit Growth Capital	Shell Companies	424.78M
GMDA	Gamida Cell	Biotechnology	251.31M
GME	GameStop	Specialty Retail	14.56B
GMED	Globus Medical	Health Care Equipment & Supplies	8.20B
GMII	Gores Metropoulos II	Shell Companies	556.88M
GMRE	Global Medical REIT	Equity Real Estate Investment Trusts...	988.63M
GMS	GMS Inc.	Trading Companies & Distributors	2.04B
GMTX	Gemini Therapeutics	Biotechnology	201.75M
GMVD	G Medical Innovations	Medical Instruments & Supplies	38.87M
GNAC	Group Nine Acquisition	Shell Companies	278.59M
GNCA	Genocea Biosciences	Biotechnology	115.17M
GNE	Genie Energy	Electric Utilities	170.41M
GNFT	Genfit	Biotechnology	182.75M
GNK	Genco Shipping & Trading	Marine	845.04M
GNL	Global Net Lease	Equity Real Estate Investment Trusts...	1.64B
GNLN	Greenlane Holdings	Distributors	228.76M
GNOG	Golden Nugget Online Gaming	Gambling	1.04B
GNPX	Genprex	Biotechnology	138.78M
GNRC	Generac Holdings	Electrical Equipment	28.49B
GNSS	Genasys	Electronic Equipment, Instruments & C...	191.55M
GNTX	Gentex Corporation	Auto Components	7.46B
GNTY	Guaranty Bancshares	Banks	400.44M
GNUS	Genius Brands International	Leisure Products	442.42M
GNW	Genworth Financial	Insurance	1.74B
GO	Grocery Outlet	Food & Staples Retailing	2.40B
GOAC	GO Acquisition	Shell Companies	703.66M
GOBI	Gobi Acquisition	Shell Companies	310.23M
GOCO	GoHealth	Insurance Brokers	1.80B
GOED	1847 Goedeker	Internet Retail	318.10M
GOEV	Canoo	Auto Manufacturers	1.63B
GOGL	Golden Ocean Group	Marine	2.29B
GOGO	Gogo Inc.	Wireless Telecommunication Services	1.39B
GOL	GOL Linhas Aereas Inteligentes	Airlines	1.45B
GOLD	Barrick Gold	Metals & Mining	34.46B
GOLF	Acushnet Holdings	Leisure Products	3.75B
GOOD	Gladstone Commercial	Equity Real Estate Investment Trusts...	820.14M
GOOG	Alphabet	Interactive Media & Services	1,885.29B
GOOGL	Alphabet	Interactive Media & Services	1,885.29B
GOOS	Canada Goose	Textiles, Apparel & Luxury Goods	4.38B
GORO	Gold Resource	Metals & Mining	128.19M
GOSS	Gossamer Bio	Biotechnology	763.73M
GOTU	Gaotu Techedu	Education & Training Services	674.75M
GOVX	GeoVax Labs	Biotechnology	30.37M
GP	GreenPower Motor	Auto Manufacturers	290.12M
GPAC	Global Partner Acquisition II	Shell Companies	47.29M
GPC	Genuine Parts	Distributors	16.95B
GPCO	Golden Path Acquisition	Shell Companies	69.67M
GPI	Group 1 Automotive	Specialty Retail	2.86B
GPK	Graphic Packaging Holding	Containers & Packaging	6.13B
GPL	Great Panther Mining	Metals & Mining	171.65M
GPMT	Granite Point Mortgage Trust	Mortgage Real Estate Investment Trus...	720.48M
GPN	Global Payments	IT Services	50.55B
GPOR	Gulfport Energy	Oil & Gas E&P	1.47B
GPP	Green Plains Partners	Oil, Gas & Consumable Fuels	305.68M
GPRE	Green Plains	Oil, Gas & Consumable Fuels	1.90B
GPRK	GeoPark	Oil, Gas & Consumable Fuels	702.39M
GPRO	GoPro	Household Durables	1.44B
GPS	Gap, Inc	Specialty Retail	8.97B
GPX	GP Strategies	Professional Services	363.83M
GRA	W.R. Grace & Co.	Chemicals	4.63B
GRAY	Graybug Vision	Biotechnology	83.44M
GRBK	Green Brick Partners	Household Durables	1.17B
GRC	Gorman-Rupp Company	Machinery	935.07M
GRCL	Gracell Biotechnologies	Biotechnology	873.49M
GRCY	Greencity Acquisition	Shell Companies	53.44M
GRFS	Grifols S.A.	Biotechnology	14.08B
GRIL	Muscle Maker	Restaurants	18.96M
GRIN	Grindrod Shipping Holdings	Marine	317.88M
GRMN	Garmin	Household Durables	33.19B
GRNQ	Greenpro Capital	Capital Markets	48.34M
GROM	Grom Social Enterprises	Internet Content & Information	32.88M
GROW	U.S. Global Investors	Capital Markets	91.79M
GROY	Gold Royalty	Metals & Mining	220.59M
GRPH	Graphite Bio	Biotechnology	1.16B
GRPN	Groupon	Internet & Direct Marketing Retail	647.77M
GRTS	Gritstone Oncology	Biotechnology	601.78M
GRTX	Galera Therapeutics	Biotechnology	197.21M
GRUB	Grubhub	Internet & Direct Marketing Retail	20.01B
GRVI	Grove	Drug Manufacturers-Specialty & Generic	81.84M
GRVY	Gravity	Entertainment	728.04M
GRWG	GrowGeneration	Specialty Retail	1.76B
GS	Goldman Sachs	Capital Markets	136.38B
GSAH	GS Acquisition Holdings II	Shell Companies	941.25M
GSAQ	Global Synergy Acquisition	Shell Companies	316.65M
GSAT	Globalstar	Diversified Telecommunication Services	4.66B
GSBC	Great Southern Bancorp	Banks	711.04M
GSBD	Goldman Sachs BDC	Capital Markets	1.94B
GSEV	Gores Holdings VII	Shell Companies	678.57M
GSHD	Goosehead Insurance	Insurance	5.66B
GSIT	GSI Technology	Semiconductors & Semiconductor Equipment	131.95M
GSK	GlaxoSmithKline	Pharmaceuticals	100.01B
GSKY	GreenSky	IT Services	1.54B
GSL	Global Ship Lease	Marine	861.37M
GSM	Ferroglobe	Metals & Mining	1.53B
GSMG	Glory Star New Media Group Holdings	Broadcasting	162.80M
GSQB	G Squared Ascend II	Shell Companies	151.56M
GSQD	G Squared Ascend I	Shell Companies	418.12M
GSS	Golden Star Resources	Metals & Mining	278.90M
GSV	Gold Standard Ventures	Metals & Mining	211.20M
GT	Goodyear Tire & Rubber	Auto Components	4.43B
GTBP	GT Biopharma	Biotechnology	251.78M
GTE	Gran Tierra Energy	Oil, Gas & Consumable Fuels	207.64M
GTEC	Greenland Technologies Holding	Machinery	77.38M
GTES	Gates Industrial	Machinery	4.98B
GTH	Genetron Holdings	Diagnostics & Research	1.39B
GTHX	G1 Therapeutics	Biotechnology	628.87M
GTIM	Good Times Restaurants	Hotels, Restaurants & Leisure	66.46M
GTLS	Chart Industries	Machinery	7.00B
GTN	Gray Television	Media	1.99B
GTN.A	Gray Television	Broadcasting	1.99B
GTPA	Gores Technology Partners	Shell Companies	335.50M
GTPB	Gores Technology Partners II	Shell Companies	562.35M
GTS	Triple-S Management	Health Care Providers & Services	837.38M
GTX	Garrett Motion	Auto Components	482.11M
GTY	Getty Realty	Equity Real Estate Investment Trusts...	1.35B
GTYH	GTY Technology	Software	408.92M
GURE	Gulf Resources	Chemicals	43.55M
GVA	Granite Construction	Construction & Engineering	1.78B
GVP	GSE Systems	Software	26.08M
GWB	Great Western Bancorp	Banks	1.55B
GWGH	GWG Holdings	Diversified Financial Services	297.19M
GWII	Good Works II Acquisition	Shell Companies	249.57M
GWRE	Guidewire Software	Software	10.15B
GWRS	Global Water Resources	Water Utilities	450.15M
GWW	W.W. Grainger	Trading Companies & Distributors	21.62B
GXII	GX Acquisition II	Shell Companies	364.13M
GXO	GXO Logistics	Specialty Business Services	9.48B
GYRO	Gyrodyne	Real Estate Management & Development	19.39M
H	Hyatt Hotels	Hotels, Restaurants & Leisure	7.35B
HA	Hawaiian Holdings	Airlines	993.44M
HAAC	Health Assurance Acquisition	Shell Companies	538.57M
HAE	Haemonetics	Health Care Equipment & Supplies	3.44B
HAFC	Hanmi Financial	Banks	553.76M
HAIN	Hain Celestial Group	Food Products	3.71B
HAL	Halliburton	Energy Equipment & Services	17.39B
HALL	Hallmark Financial Services	Insurance	68.14M
HALO	Halozyme Therapeutics	Biotechnology	5.87B
HAPP	Happiness Biotech Group	Personal Products	39.30M
HARP	Harpoon Therapeutics	Biotechnology	288.15M
HAS	Hasbro	Leisure Products	13.50B
HASI	Hannon Armstrong	Equity Real Estate Investment Trusts...	4.35B
HAYN	Haynes International	Metals & Mining	469.23M
HAYW	Hayward Holdings	Leisure Products	4.83B
HBAN	Huntington Bancshares	Banks	22.67B
HBB	Hamilton Beach Brands	Household Durables	224.14M
HBCP	Home Bancorp	Thrifts & Mortgage Finance	317.74M
HBI	Hanesbrands	Textiles, Apparel & Luxury Goods	6.54B
HBIO	Harvard Bioscience	Life Sciences Tools & Services	314.69M
HBM	HudBay Minerals	Metals & Mining	2.07B
HBMD	Howard Bancorp	Banks	356.65M
HBNC	Horizon Bancorp	Banks	759.03M
HBP	Huttig Building Products	Trading Companies & Distributors	159.74M
HBT	HBT Financial	Banks	417.17M
HCA	HCA Healthcare	Health Care Providers & Services	82.18B
HCAQ	HealthCor Catalio Acquisition	Shell Companies	268.86M
HCAR	Healthcare Services Acquisition	Shell Companies	401.99M
HCAT	Health Catalyst	Health Care Technology	2.85B
HCC	Warrior Met Coal	Metals & Mining	1.36B
HCCC	Healthcare Capital	Shell Companies	338.94M
HCCI	Heritage-Crystal Clean	Commercial Services & Supplies	671.91M
